title,venue,year,author,comment,url,code
Fast Decentralized Gradient Tracking for Federated Minimax Optimization with Local Updates,arXiv,2405,Chris Junchi Li,,https://arxiv.org/abs/2405.04566,
Fast MRI Reconstruction Using Deep Learning-based Compressed Sensing: A Systematic Review,arXiv,2405,"Mojtaba Safari, Zach Eidex, Chih-Wei Chang, Richard L. J. Qiu, Xiaofeng Yang",,https://arxiv.org/abs/2405.00241,GitHub
"FastLloyd: Federated, Accurate, Secure, and Tunable $k$-Means Clustering with Differential Privacy",arXiv,2405,"Abdulrahman Diaa, Thomas Humphries, Florian Kerschbaum",,https://arxiv.org/abs/2405.02437,
FedConPE: Efficient Federated Conversational Bandits with Heterogeneous Clients,arXiv,2405,"Zhuohua Li, Maoli Liu, John C. S. Lui","Accepted in the 33rd International Joint Conference on Artificial Intelligence (IJCAI), 2024",https://arxiv.org/abs/2405.02881,
FedProK: Trustworthy Federated Class-Incremental Learning via Prototypical Feature Knowledge Transfer,arXiv,2405,"Xin Gao, Xin Yang, Hao Yu, Yan Kang, Tianrui Li",,https://arxiv.org/abs/2405.02685,
FedSC: Provable Federated Self-supervised Learning with Spectral Contrastive Objective over Non-i.i.d. Data,arXiv,2405,"Shusen Jing, Anlan Yu, Shuai Zhang, Songyang Zhang",,https://arxiv.org/abs/2405.03949,
FedStale: leveraging stale client updates in federated learning,arXiv,2405,"Angelo Rodio, Giovanni Neglia","33 pages, 5 figures, preprint",https://arxiv.org/abs/2405.04171,
Federated Adaptation for Foundation Model-based Recommendations,arXiv,2405,"Chunxu Zhang, Guodong Long, Hongkuan Guo, Xiao Fang, Yang Song, Zhaojie Liu, Guorui Zhou, Zijian Zhang, Yang Liu, Bo Yang",Accepted as a regular paper of IJCAI'24,https://arxiv.org/abs/2405.04840,
Federated Combinatorial Multi-Agent Multi-Armed Bandits,arXiv,2405,"Fares Fourati, Mohamed-Slim Alouini, Vaneet Aggarwal",,https://arxiv.org/abs/2405.05950,
Federated Control in Markov Decision Processes,arXiv,2405,"Hao Jin, Yang Peng, Liangyu Zhang, Zhihua Zhang",,https://arxiv.org/abs/2405.04026,
Federated Graph Condensation with Information Bottleneck Principles,arXiv,2405,Bo Yan,13 pages,https://arxiv.org/abs/2405.03911,
Federated Graph Learning for EV Charging Demand Forecasting with Personalization Against Cyberattacks,arXiv,2405,"Yi Li, Renyou Xie, Chaojie Li, Yi Wang, Zhaoyang Dong","11 pages,4 figures",https://arxiv.org/abs/2405.00742,
"Federated Learning Privacy: Attacks, Defenses, Applications, and Policy Landscape - A Survey",arXiv,2405,"Joshua C. Zhao, Saurabh Bagchi, Salman Avestimehr, Kevin S. Chan, Somali Chaterji, Dimitris Dimitriadis, Jiacheng Li, Ninghui Li, Arash Nourian, Holger R. Roth",Submitted to ACM Computing Surveys,https://arxiv.org/abs/2405.03636,
Federated Learning and Differential Privacy Techniques on Multi-hospital Population-scale Electrocardiogram Data,arXiv,2405,"Vikhyat Agrawal, Sunil Vasu Kalmady, Venkataseetharam Manoj Malipeddi, Manisimha Varma Manthena, Weijie Sun, Saiful Islam, Abram Hindle, Padma Kaul, Russell Greiner",Accepted for ICMHI 2024,https://arxiv.org/abs/2405.00725,https://github.com/vikhyatt/Hospital-FL-DP.
Federated Learning for Cooperative Inference Systems: The Case of Early Exit Networks,arXiv,2405,"Caelin Kaplan, Tareq Si Salem, Angelo Rodio, Chuan Xu, Giovanni Neglia",,https://arxiv.org/abs/2405.04249,
Federated Learning for Drowsiness Detection in Connected Vehicles,arXiv,2405,"William Lindskog, Valentin Spannagl, Christian Prehofer","14 pages, 8 figures, 1 table, EAI INTSYS 2023 conference",https://arxiv.org/abs/2405.03311,
Federated Learning for Tabular Data using TabNet: A Vehicular Use-Case,arXiv,2405,"William Lindskog, Christian Prehofer","7 pages, 9 figures, 1 table, ICCP Conference 2022",https://arxiv.org/abs/2405.02060,
Federated Learning with Heterogeneous Data Handling for Robust Vehicular Object Detection,arXiv,2405,"Ahmad Khalil, Tizian Dege, Pegah Golchin, Rostyslav Olshevskyi, Antonio Fernandez Anta, Tobias Meuser",,https://arxiv.org/abs/2405.01108,
Federated Reinforcement Learning with Constraint Heterogeneity,arXiv,2405,"Hao Jin, Liangyu Zhang, Zhihua Zhang",,https://arxiv.org/abs/2405.03236,
GI-SMN: Gradient Inversion Attack against Federated Learning without Prior Knowledge,arXiv,2405,"Jin Qian, Kaimin Wei, Yongdong Wu, Jilian Zhang, Jipeng Chen, Huan Bao","18 pages, 10 figures, conference",https://arxiv.org/abs/2405.03516,
Gradient-Congruity Guided Federated Sparse Training,arXiv,2405,"Chris Xing Tian, Yibing Liu, Haoliang Li, Ray C. C. Cheung, Shiqi Wang",,https://arxiv.org/abs/2405.01189,
Histogram-Based Federated XGBoost using Minimal Variance Sampling for Federated Tabular Data,arXiv,2405,"William Lindskog, Christian Prehofer, Sarandeep Singh","6 figures, 5 tables, 8 pages, FLTA 2023 (together with FMEC 2023)",https://arxiv.org/abs/2405.02067,
Holistic Evaluation Metrics: Use Case Sensitive Evaluation Metrics for Federated Learning,arXiv,2405,"Yanli Li, Jehad Ibrahim, Huaming Chen, Dong Yuan, Kim-Kwang Raymond Choo",,https://arxiv.org/abs/2405.02360,
IPFed: Identity protected federated learning for user authentication,arXiv,2405,"Yosuke Kaga, Yusei Suzuki, Kenta Takahashi",,https://arxiv.org/abs/2405.03955,
Intelligent EC Rearview Mirror: Enhancing Driver Safety with Dynamic Glare Mitigation via Cloud Edge Collaboration,arXiv,2405,"Junyi Yang, Zefei Xu, Huayi Lai, Hongjian Chen, Sifan Kong, Yutong Wu, Huan Yang",,https://arxiv.org/abs/2405.05579,
Interpretable Data Fusion for Distributed Learning: A Representative Approach via Gradient Matching,arXiv,2405,"Mengchen Fan, Baocheng Geng, Keren Li, Xueqian Wang, Pramod K. Varshney",,https://arxiv.org/abs/2405.03782,
LEAP: Optimization Hierarchical Federated Learning on Non-IID Data with Coalition Formation Game,arXiv,2405,"Jianfeng Lu, Yue Chen, Shuqin Cao, Longbiao Chen, Wei Wang, Yun Xin",,https://arxiv.org/abs/2405.00579,
Latency and Energy Minimization in NOMA-Assisted MEC Network: A Federated Deep Reinforcement Learning Approach,arXiv,2405,"Arian Ahmadi, Anders Høst-Madsen, Zixiang Xiong",,https://arxiv.org/abs/2405.04012,
LightTR: A Lightweight Framework for Federated Trajectory Recovery,arXiv,2405,"Ziqiao Liu, Hao Miao, Yan Zhao, Chenxi Liu, Kai Zheng, Huan Li",The paper was accepted by ICDE 2024,https://arxiv.org/abs/2405.03409,
Navigating Heterogeneity and Privacy in One-Shot Federated Learning with Diffusion Models,arXiv,2405,"Matias Mendieta, Guangyu Sun, Chen Chen",,https://arxiv.org/abs/2405.01494,
PackVFL: Efficient HE Packing for Vertical Federated Learning,arXiv,2405,"Liu Yang, Shuowei Cai, Di Chai, Junxue Zhang, Han Tian, Yilun Jin, Kun Guo, Kai Chen, Qiang Yang",12 pages excluding references,https://arxiv.org/abs/2405.00482,
Poisoning Attacks on Federated Learning for Autonomous Driving,arXiv,2405,"Sonakshi Garg, Hugo Jönsson, Gustav Kalander, Axel Nilsson, Bhhaanu Pirange, Viktor Valadi, Johan Östman",Accepted to SCAI2024,https://arxiv.org/abs/2405.01073,
Powering the Future of IoT: Federated Learning for Optimized Power Consumption and Enhanced Privacy,arXiv,2405,"Ghazaleh Shirvani, Saeid Ghasemshirazi",,https://arxiv.org/abs/2405.03065,
Privacy-Preserving Edge Federated Learning for Intelligent Mobile-Health Systems,arXiv,2405,"Amin Aminifar, Matin Shokri, Amir Aminifar",,https://arxiv.org/abs/2405.05611,
Privacy-aware Berrut Approximated Coded Computing for Federated Learning,arXiv,2405,"Xavier Martínez Luaña, Rebeca P. Díaz Redondo, Manuel Fernández Veiga",,https://arxiv.org/abs/2405.01704,
Quantum Federated Learning Experiments in the Cloud with Data Encoding,arXiv,2405,"Shiva Raj Pokhrel, Naman Yash, Jonathan Kua, Gang Li, Lei Pan","SIGCOMM 2024, Quantum Computing, Federated Learning, Qiskit",https://arxiv.org/abs/2405.00909,(GitHub
Queuing dynamics of asynchronous Federated Learning,arXiv,2405,"Louis Leconte, Matthieu Jonckheere, Sergey Samsonov, Eric Moulines",,https://arxiv.org/abs/2405.00017,
Ranking-based Client Selection with Imitation Learning for Efficient Federated Learning,arXiv,2405,"Chunlin Tian, Zhan Shi, Xinpeng Qin, Li Li, Chengzhong Xu",Accepted by ICML 2024,https://arxiv.org/abs/2405.04122,
"Real Risks of Fake Data: Synthetic Data, Diversity-Washing and Consent Circumvention",arXiv,2405,"Cedric Deslandes Whitney, Justin Norman",,https://arxiv.org/abs/2405.01820,
Recovering Labels from Local Updates in Federated Learning,arXiv,2405,"Huancheng Chen, Haris Vikalo",,https://arxiv.org/abs/2405.00955,
Rescale-Invariant Federated Reinforcement Learning for Resource Allocation in V2X Networks,arXiv,2405,"Kaidi Xu, Shenglong Zhou, Geoffrey Ye Li",,https://arxiv.org/abs/2405.01961,
Research on financial fraud algorithm based on federal learning and big data technology,arXiv,2405,Xinye Sha,,https://arxiv.org/abs/2405.03992,
Robust Decentralized Learning with Local Updates and Gradient Tracking,arXiv,2405,"Sajjad Ghiasvand, Amirhossein Reisizadeh, Mahnoosh Alizadeh, Ramtin Pedarsani",,https://arxiv.org/abs/2405.00965,
SCALA: Split Federated Learning with Concatenated Activations and Logit Adjustments,arXiv,2405,"Jiarong Yang, Yuan Liu",,https://arxiv.org/abs/2405.04875,
Scalable Vertical Federated Learning via Data Augmentation and Amortized Inference,arXiv,2405,"Conor Hassan, Matthew Sutton, Antonietta Mira, Kerrie Mengersen","30 pages, 5 figures, 3 tables",https://arxiv.org/abs/2405.04043,
Secure Inference for Vertically Partitioned Data Using Multiparty Homomorphic Encryption,arXiv,2405,"Shuangyi Chen, Yue Ju, Zhongwen Zhu, Ashish Khisti",,https://arxiv.org/abs/2405.03775,
Sharp Bounds for Sequential Federated Learning on Heterogeneous Data,arXiv,2405,"Yipeng Li, Xinchen Lyu",arXiv admin note: text overlap with arXiv:2311.03154,https://arxiv.org/abs/2405.01142,
Snake Learning: A Communication- and Computation-Efficient Distributed Learning Framework for 6G,arXiv,2405,"Xiaoxue Yu, Xingfu Yi, Rongpeng Li, Fei Wang, Chenghui Peng, Zhifeng Zhao, Honggang Zhang","7 pages, 6 figures",https://arxiv.org/abs/2405.03372,
"Swarm Learning: A Survey of Concepts, Applications, and Trends",arXiv,2405,"Elham Shammar, Xiaohui Cui, Mohammed A. A. Al-qaness",31 pages,https://arxiv.org/abs/2405.00556,
Trust Driven On-Demand Scheme for Client Deployment in Federated Learning,arXiv,2405,"Mario Chahoud, Azzam Mourad, Hadi Otrok, Jamal Bentahar, Mohsen Guizani",,https://arxiv.org/abs/2405.00395,
Understanding Server-Assisted Federated Learning in the Presence of Incomplete Client Participation,arXiv,2405,"Haibo Yang, Peiwen Qiu, Prashant Khanduri, Minghong Fang, Jia Liu",Accepted in ICML2024,https://arxiv.org/abs/2405.02745,
WHALE-FL: Wireless and Heterogeneity Aware Latency Efficient Federated Learning over Mobile Devices via Adaptive Subnetwork Scheduling,arXiv,2405,"Huai-an Su, Jiaxiang Geng, Liang Li, Xiaoqi Qin, Yanzhao Hou, Xin Fu, Miao Pan",,https://arxiv.org/abs/2405.00885,
When Foresight Pruning Meets Zeroth-Order Optimization: Efficient Federated Learning for Low-Memory Devices,arXiv,2405,"Pengyu Zhang, Yingjie Liu, Yingbo Zhou, Xiao Du, Xian Wei, Ting Wang, Mingsong Chen",,https://arxiv.org/abs/2405.04765,
pFedLVM: A Large Vision Model (LVM)-Driven and Latent Feature-Based Personalized Federated Learning Framework in Autonomous Driving,arXiv,2405,"Wei-Bin Kou, Qingfeng Lin, Ming Tang, Sheng Xu, Rongguang Ye, Yang Leng, Shuai Wang, Zhenyu Chen, Guangxu Zhu, Yik-Chung Wu","This paper was submitted to IEEE Transactions on Mobile Computing (TMC) on Apr. 6th, 2024",https://arxiv.org/abs/2405.04146,
A Federated Learning Approach to Privacy Preserving Offensive Language Identification,arXiv,2404,"Marcos Zampieri, Damith Premasiri, Tharindu Ranasinghe","Accepted to TRAC 2024 (Fourth Workshop on Threat, Aggression and Cyberbullying) at LREC-COLING 2024 (The 2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation)",https://arxiv.org/abs/2404.11470,
A Phone-based Distributed Ambient Temperature Measurement System with An Efficient Label-free Automated Training Strategy,arXiv,2404,"Dayin Chen, Xiaodan Shi, Haoran Zhang, Xuan Song, Dongxiao Zhang, Yuntian Chen, Jinyue Yan",,https://arxiv.org/abs/2404.10401,
A Secure and Trustworthy Network Architecture for Federated Learning Healthcare Applications,arXiv,2404,"Antonio Boiano, Marco Di Gennaro, Luca Barbieri, Michele Carminati, Monica Nicoli, Alessandro Redondi, Stefano Savazzi, Albert Sund Aillet, Diogo Reis Santos, Luigi Serio",,https://arxiv.org/abs/2404.11698,
A Universal Metric of Dataset Similarity for Cross-silo Federated Learning,arXiv,2404,"Ahmed Elhussein, Gamze Gursoy",,https://arxiv.org/abs/2404.18773,
Accelerated Methods with Compression for Horizontal and Vertical Federated Learning,arXiv,2404,"Sergey Stanko, Timur Karimullin, Aleksandr Beznosikov, Alexander Gasnikov",,https://arxiv.org/abs/2404.13328,
Adaptive Heterogeneous Client Sampling for Federated Learning over Wireless Networks,arXiv,2404,"Bing Luo, Wenli Xiao, Shiqiang Wang, Jianwei Huang, Leandros Tassiulas",Published in IEEE Transactions on Mobile Computing (TMC). arXiv admin note: substantial text overlap with arXiv:2112.11256,https://arxiv.org/abs/2404.13804,
Addressing Heterogeneity in Federated Load Forecasting with Personalization Layers,arXiv,2404,"Shourya Bose, Yu Zhang, Kibaek Kim",,https://arxiv.org/abs/2404.01517,
Advances and Open Challenges in Federated Learning with Foundation Models,arXiv,2404,"Chao Ren, Han Yu, Hongyi Peng, Xiaoli Tang, Anran Li, Yulan Gao, Alysa Ziying Tan, Bo Zhao, Xiaoxiao Li, Zengxiang Li, Qiang Yang",Survey of Federated Foundation Models (FedFM),https://arxiv.org/abs/2404.15381,
"Aggressive or Imperceptible, or Both: Network Pruning Assisted Hybrid Byzantines in Federated Learning",arXiv,2404,"Emre Ozfatura, Kerem Ozfatura, Alptekin Kupcu, Deniz Gunduz",,https://arxiv.org/abs/2404.06230,
An Aggregation-Free Federated Learning for Tackling Data Heterogeneity,arXiv,2404,"Yuan Wang, Huazhu Fu, Renuga Kanagavelu, Qingsong Wei, Yong Liu, Rick Siow Mong Goh",Accepted to CVPR 2024,https://arxiv.org/abs/2404.18962,
An Autoencoder-Based Constellation Design for AirComp in Wireless Federated Learning,arXiv,2404,"Yujia Mu, Xizixiang Wei, Cong Shen",,https://arxiv.org/abs/2404.09392,
An Element-Wise Weights Aggregation Method for Federated Learning,arXiv,2404,"Yi Hu, Hanchi Ren, Chen Hu, Jingjing Deng, Xianghua Xie",2023 IEEE International Conference on Data Mining Workshops (ICDMW),https://arxiv.org/abs/2404.15919,
An Interpretable Client Decision Tree Aggregation process for Federated Learning,arXiv,2404,"Alberto Argente-Garrido, Cristina Zuheros, M. Victoria Luzón, Francisco Herrera",Submitted to Information Science Journal,https://arxiv.org/abs/2404.02510,
Anti-Byzantine Attacks Enabled Vehicle Selection for Asynchronous Federated Learning in Vehicular Edge Computing,arXiv,2404,"Cui Zhang, Xiao Xu, Qiong Wu, Pingyi Fan, Qiang Fan, Huiling Zhu, Jiangzhou Wang",This paper has been accepted by China Communications.The source code has been released at:https://github.com/giongwu86/By-AFLDDPG,https://arxiv.org/abs/2404.08444,https://github.com/giongwu86/By-AFLDDPG
Apodotiko: Enabling Efficient Serverless Federated Learning in Heterogeneous Environments,arXiv,2404,"Mohak Chadha, Alexander Jensen, Jianfeng Gu, Osama Abboud, Michael Gerndt",Accepted at IEEE/ACM CCGrid'24,https://arxiv.org/abs/2404.14033,
Application and practice of AI technology in quantitative investment,arXiv,2404,"Shuochen Bi, Wenqing Bao, Jue Xiao, Jiangshan Wang, Tingting Deng","9 pages,2 figures",https://arxiv.org/abs/2404.18184,
Approximate Gradient Coding for Privacy-Flexible Federated Learning with Non-IID Data,arXiv,2404,"Okko Makkonen, Sampo Niemelä, Camilla Hollanti, Serge Kas Hanna",,https://arxiv.org/abs/2404.03524,
Approximate Wireless Communication for Lossy Gradient Updates in IoT Federated Learning,arXiv,2404,"Xiang Ma, Haijian Sun, Rose Qingyang Hu, Yi Qian",submitted to IEEE journals for publication,https://arxiv.org/abs/2404.11035,
Asynchronous Federated Reinforcement Learning with Policy Gradient Updates: Algorithm Design and Convergence Analysis,arXiv,2404,"Guangchen Lan, Dong-Jun Han, Abolfazl Hashemi, Vaneet Aggarwal, Christopher G. Brinton",,https://arxiv.org/abs/2404.08003,
Automated Federated Pipeline for Parameter-Efficient Fine-Tuning of Large Language Models,arXiv,2404,"Zihan Fang, Zheng Lin, Zhe Chen, Xianhao Chen, Yue Gao, Yuguang Fang","15 pages, 16 figures",https://arxiv.org/abs/2404.06448,
Automated National Urban Map Extraction,arXiv,2404,"Hasan Nasrallah, Abed Ellatif Samhat, Cristiano Nattero, Ali J. Ghandour",,https://arxiv.org/abs/2404.06202,
Bayesian Federated Inference for Survival Models,arXiv,2404,"Hassan Pazira, Emanuele Massa, Jetty AM Weijers, Anthony CC Coolen, Marianne A Jonker","22 pages, 5 figures, 2 tables",https://arxiv.org/abs/2404.17464,
Bayesian Federated Model Compression for Communication and Computation Efficiency,arXiv,2404,"Chengyu Xia, Danny H. K. Tsang, Vincent K. N. Lau",,https://arxiv.org/abs/2404.07532,
Belt and Brace: When Federated Learning Meets Differential Privacy,arXiv,2404,"Xuebin Ren, Shusen Yang, Cong Zhao, Julie McCann, Zongben Xu","10 pages, 4 figures, accepted by and to appear in Communications of the ACM (CACM)",https://arxiv.org/abs/2404.18814,
Beyond Traditional Threats: A Persistent Backdoor Attack on Federated Learning,arXiv,2404,"Tao Liu, Yuhang Zhang, Zhu Feng, Zhiqin Yang, Chen Xu, Dapeng Man, Wu Yang",,https://arxiv.org/abs/2404.17617,https://github.com/PhD-TaoLiu/FCBA.
Blind Federated Learning without initial model,arXiv,2404,"Jose L. Salmeron, Irina Arévalo",,https://arxiv.org/abs/2404.16180,
Brain Storm Optimization Based Swarm Learning for Diabetic Retinopathy Image Classification,arXiv,2404,"Liang Qu, Cunze Wang, Yuhui Shi",,https://arxiv.org/abs/2404.15585,
Breaking the Memory Wall for Heterogeneous Federated Learning with Progressive Training,arXiv,2404,"Yebo Wu, Li Li, Chunlin Tian, Chengzhong Xu",,https://arxiv.org/abs/2404.13349,
Bridging Data Barriers among Participants: Assessing the Potential of Geoenergy through Federated Learning,arXiv,2404,"Weike Peng, Jiaxin Gao, Yuntian Chen, Shengwei Wang",,https://arxiv.org/abs/2404.18527,
Bridging Data Islands: Geographic Heterogeneity-Aware Federated Learning for Collaborative Remote Sensing Semantic Segmentation,arXiv,2404,"Jieyi Tan, Yansheng Li, Sergey A. Bartalev, Bo Dang, Wei Chen, Yongjun Zhang, Liangqi Yuan","13 pages,9 figures, 4 tables",https://arxiv.org/abs/2404.09292,
CaBaFL: Asynchronous Federated Learning via Hierarchical Cache and Feature Balance,arXiv,2404,"Zeke Xia, Ming Hu, Dengke Yan, Xiaofei Xie, Tianlin Li, Anran Li, Junlong Zhou, Mingsong Chen",,https://arxiv.org/abs/2404.12850,
Collaborative Heterogeneous Causal Inference Beyond Meta-analysis,arXiv,2404,"Tianyu Guo, Sai Praneeth Karimireddy, Michael I. Jordan",submitted to ICML,https://arxiv.org/abs/2404.15746,
Collaborative Optimization of Wireless Communication and Computing Resource Allocation based on Multi-Agent Federated Weighting Deep Reinforcement Learning,arXiv,2404,"Junjie Wu, Xuming Fang",,https://arxiv.org/abs/2404.01638,
Collaborative Visual Place Recognition through Federated Learning,arXiv,2404,"Mattia Dutto, Gabriele Berton, Debora Caldarola, Eros Fanì, Gabriele Trivigno, Carlo Masone","13 pages, 7 figures, CVPR - The 3rd International Workshop on Federated Learning for Computer Vision (FedVision-2024)",https://arxiv.org/abs/2404.13324,
Communication-Efficient Hybrid Federated Learning for E-health with Horizontal and Vertical Data Partitioning,arXiv,2404,"Chong Yu, Shuaiqi Shen, Shiqiang Wang, Kuan Zhang, Hai Zhao",,https://arxiv.org/abs/2404.10110,
Communication-Efficient Model Aggregation with Layer Divergence Feedback in Federated Learning,arXiv,2404,"Liwei Wang, Jun Li, Wen Chen, Qingqing Wu, Ming Ding",,https://arxiv.org/abs/2404.08324,
Compressed Federated Reinforcement Learning with a Generative Model,arXiv,2404,"Ali Beikmohammadi, Sarit Khirirat, Sindri Magnússon",,https://arxiv.org/abs/2404.10635,
Computation and Communication Efficient Lightweighting Vertical Federated Learning,arXiv,2404,"Heqiang Wang, Jieming Bian, Lei Wang",,https://arxiv.org/abs/2404.00466,
Confidential Federated Computations,arXiv,2404,"Hubert Eichner, Daniel Ramage, Kallista Bonawitz, Dzmitry Huba, Tiziano Santoro, Brett McLarnon, Timon Van Overveldt, Nova Fallen, Peter Kairouz, Albert Cheu, Katharine Daly, Adria Gascon, Marco Gruteser, Brendan McMahan",,https://arxiv.org/abs/2404.10764,
Continual Learning for Smart City: A Survey,arXiv,2404,"Li Yang, Zhipeng Luo, Shiming Zhang, Fei Teng, Tianrui Li",Preprint. Work in Progress,https://arxiv.org/abs/2404.00983,
Cooperative Gradient Coding for Collaborative Federated Learning,arXiv,2404,"Shudi Weng, Chengxi Li, Ming Xiao, Mikael Skoglund",,https://arxiv.org/abs/2404.00780,
Decentralised Moderation for Interoperable Social Networks: A Conversation-based Approach for Pleroma and the Fediverse,arXiv,2404,"Vibhor Agarwal, Aravindh Raman, Nishanth Sastry, Ahmed M. Abdelmoniem, Gareth Tyson, Ignacio Castro",Accepted at International AAAI Conference on Web and Social Media (ICWSM) 2024. Please cite accordingly!,https://arxiv.org/abs/2404.03048,
