title,author,venue_name,publish_date,url,code,created_date
UnStar: Unlearning with Self-Taught Anti-Sample Reasoning for LLMs,"Yash Sinha, Murari Mandal, Mohan Kankanhalli","<ul><li><span style=""color: #FF5733;"">arXiv</span></li></ul>",2024-10-22,"<ul><li><a href=""http://arxiv.org/abs/2410.17050v1"" target=""_blank"" style=""color: #FF5733;"">[arXiv (2024-10-22)]</a></li></ul>",,2024-11-03
Does your LLM truly unlearn? An embarrassingly simple approach to recover unlearned knowledge,"Zhiwei Zhang, Fali Wang, Xiaomin Li, Zongyu Wu, Xianfeng Tang, Hui Liu, Qi He, Wenpeng Yin, Suhang Wang","<ul><li><span style=""color: #FF5733;"">arXiv</span></li><li><span style=""color: #3357FF;"">arXiv …, 2024</span></li></ul>",2024-10-21,"<ul><li><a href=""http://arxiv.org/abs/2410.16454v1"" target=""_blank"" style=""color: #FF5733;"">[arXiv (2024-10-21)]</a></li><li><a href=""https://arxiv.org/abs/2410.16454"" target=""_blank"" style=""color: #3357FF;"">[GoogleScholar (2024-10-21)]</a></li></ul>",,2024-11-03
Scalability of memorization-based machine unlearning,"Kairan Zhao, Peter Triantafillou","<ul><li><span style=""color: #FF5733;"">arXiv</span></li><li><span style=""color: #3357FF;"">arXiv:2410.16516, 2024</span></li></ul>",2024-10-21,"<ul><li><a href=""http://arxiv.org/abs/2410.16516v1"" target=""_blank"" style=""color: #FF5733;"">[arXiv (2024-10-21)]</a></li><li><a href=""https://arxiv.org/abs/2410.16516"" target=""_blank"" style=""color: #3357FF;"">[GoogleScholar (2024-10-12)]</a></li></ul>",,2024-11-03
A General Strategy Graph Collaborative Filtering for Recommendation Unlearning,"Y Hao, F Zhuang, D Wang, G Liu, VS Sheng…","<ul><li><span style=""color: #FF5733;"">CIKM '24: Proceedings of the 33rd ACM International Conference on Information and Knowledge Management</span></li><li><span style=""color: #3357FF;"">Proceedings of the 33rd …, 2024</span></li></ul>",2024-10-21,"<ul><li><a href=""https://dl.acm.org/doi/10.1145/3627673.3679637"" target=""_blank"" style=""color: #FF5733;"">[ACM (2024-10)]</a></li><li><a href=""https://dl.acm.org/doi/abs/10.1145/3627673.3679637"" target=""_blank"" style=""color: #3357FF;"">[GoogleScholar (2024-10-21)]</a></li></ul>",,2024-10-28
Characteristics of Educational Institution Administrators in the 21st Century under the Jurisdiction of the Chonburi Primary Educational Service Office Area 3,"P Phromthet, W Sonpo","<ul><li><span style=""color: #FF5733;"">Interdisciplinary Academic and …, 2024</span></li></ul>",2024-10-21,"<ul><li><a href=""https://so03.tci-thaijo.org/index.php/IARJ/article/view/276240"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-10-21)]</a></li></ul>",,2024-10-28
Posthuman Agency and Techno-mimetism,D Scalco,"<ul><li><span style=""color: #FF5733;"">Mimetic Posthumanism: Homo Mimeticus 2.0 in Art …, 2024</span></li></ul>",2024-10-21,"<ul><li><a href=""https://books.google.com/books?hl=en&lr=&id=9BYrEQAAQBAJ&oi=fnd&pg=PA285&dq=unlearn&ots=NGqiy8LZw1&sig=MSZVL9iIIQhNP5AtjtwPPWb84zc"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-10-21)]</a></li></ul>",,2024-10-28
Robust Federated Unlearning,"X Sheng, W Bao, L Ge","<ul><li><span style=""color: #FF5733;"">CIKM '24: Proceedings of the 33rd ACM International Conference on Information and Knowledge Management</span></li><li><span style=""color: #3357FF;"">Proceedings of the 33rd ACM International …, 2024</span></li></ul>",2024-10-21,"<ul><li><a href=""https://dl.acm.org/doi/10.1145/3627673.3679817"" target=""_blank"" style=""color: #FF5733;"">[ACM (2024-10)]</a></li><li><a href=""https://dl.acm.org/doi/abs/10.1145/3627673.3679817"" target=""_blank"" style=""color: #3357FF;"">[GoogleScholar (2024-10-21)]</a></li></ul>",,2024-10-28
When Machine Unlearning Meets Retrieval-Augmented Generation (RAG): Keep Secret or Forget Knowledge?,"Shang Wang, Tianqing Zhu, Dayong Ye, Wanlei Zhou","<ul><li><span style=""color: #FF5733;"">arXiv</span></li><li><span style=""color: #3357FF;"">arXiv:2410.15267, 2024</span></li></ul>",2024-10-20,"<ul><li><a href=""http://arxiv.org/abs/2410.15267v1"" target=""_blank"" style=""color: #FF5733;"">[arXiv (2024-10-20)]</a></li><li><a href=""https://arxiv.org/abs/2410.15267"" target=""_blank"" style=""color: #3357FF;"">[GoogleScholar (2024-10-20)]</a></li></ul>",,2024-11-03
Evaluating Deep Unlearning in Large Language Models,"Ruihan Wu, Chhavi Yadav, Russ Salakhutdinov, Kamalika Chaudhuri","<ul><li><span style=""color: #FF5733;"">arXiv</span></li><li><span style=""color: #3357FF;"">arXiv</span></li><li><span style=""color: #FF33A1;"">arXiv …, 2024</span></li></ul>",2024-10-19,"<ul><li><a href=""http://arxiv.org/abs/2410.15153v1"" target=""_blank"" style=""color: #FF5733;"">[arXiv (2024-10-19)]</a></li><li><a href=""http://arxiv.org/abs/2410.15153v2"" target=""_blank"" style=""color: #3357FF;"">[arXiv (2024-10-19)]</a></li><li><a href=""https://arxiv.org/abs/2410.15153"" target=""_blank"" style=""color: #FF33A1;"">[GoogleScholar (2024-10-19)]</a></li></ul>","<ul><li><a href=""https://github.com/wrh14/deep_unlearning"" target=""_blank"" style=""color: #FF5733;"">[arXiv - wrh14]</a></li><li><a href=""https://github.com/wrh14/deep_unlearning"" target=""_blank"" style=""color: #3357FF;"">[arXiv - wrh14]</a></li></ul>",2024-11-03
Mind the Remaining: Mechanism Design for Robust Federated Unlearning,"J Shao, T Lin, B Luo","<ul><li><span style=""color: #FF5733;"">arXiv:2410.15045, 2024</span></li></ul>",2024-10-19,"<ul><li><a href=""https://arxiv.org/abs/2410.15045"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-10-19)]</a></li></ul>",,2024-10-28
Modeling Unlearning and Relearning with Multi-agent Q-Learning Systems,"M Solaiman, T Mui, Q Wang, P Mui","<ul><li><span style=""color: #FF5733;"">CS & IT Conference Proceedings, 2024</span></li></ul>",2024-10-19,"<ul><li><a href=""https://csitcp.org/abstract/14/1419csit12"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-10-19)]</a></li></ul>",,2024-10-28
“It's been a Process”: A Multiple Case Study of Biology Instructor Efforts to Reform their Sex and Gender Curriculum to be More Inclusive of Students with Queer …,"EP Driessen, KE Walker, T Hallman…","<ul><li><span style=""color: #FF5733;"">CBE—Life Sciences …, 2024</span></li></ul>",2024-10-19,"<ul><li><a href=""https://www.lifescied.org/doi/abs/10.1187/cbe.24-01-0035"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-10-19)]</a></li></ul>",,2024-10-28
Breaking Chains: Unraveling the Links in Multi-Hop Knowledge Unlearning,"Minseok Choi, ChaeHun Park, Dohyun Lee, Jaegul Choo","<ul><li><span style=""color: #FF5733;"">arXiv</span></li><li><span style=""color: #3357FF;"">arXiv:2410.13274, 2024</span></li></ul>",2024-10-18,"<ul><li><a href=""http://arxiv.org/abs/2410.13274v1"" target=""_blank"" style=""color: #FF5733;"">[arXiv (2024-10-17)]</a></li><li><a href=""https://arxiv.org/abs/2410.13274"" target=""_blank"" style=""color: #3357FF;"">[GoogleScholar (2024-10-18)]</a></li></ul>",,2024-11-03
Unlearning Backdoor Attacks for LLMs with Weak-to-Strong Knowledge Distillation,"Shuai Zhao, Xiaobao Wu, Cong-Duy Nguyen, Meihuizi Jia, Yichao Feng, Luu Anh Tuan","<ul><li><span style=""color: #FF5733;"">arXiv</span></li><li><span style=""color: #3357FF;"">arXiv …, 2024</span></li></ul>",2024-10-18,"<ul><li><a href=""http://arxiv.org/abs/2410.14425v1"" target=""_blank"" style=""color: #FF5733;"">[arXiv (2024-10-18)]</a></li><li><a href=""https://arxiv.org/abs/2410.14425"" target=""_blank"" style=""color: #3357FF;"">[GoogleScholar (2024-10-18)]</a></li></ul>",,2024-11-03
The Magnitude of Us: An Educator's Guide to Creating Culturally Responsive Classrooms,MS Bunch,"<ul><li><span style=""color: #FF5733;"">2024</span></li></ul>",2024-10-18,"<ul><li><a href=""https://books.google.com/books?hl=en&lr=&id=mTcqEQAAQBAJ&oi=fnd&pg=PP1&dq=unlearn&ots=zPPTxU2Q0u&sig=ebOct-3vVV7Pi8YLoUi7-MVT4sw"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-10-18)]</a></li></ul>",,2024-10-28
"Writing Is... Meaningful, Independent, Authentic, and Blended","L Searcy, L Vance","<ul><li><span style=""color: #FF5733;"">… Gets Tough: Challenges and Possibilities in …, 2024</span></li></ul>",2024-10-18,"<ul><li><a href=""https://books.google.com/books?hl=en&lr=&id=kTcqEQAAQBAJ&oi=fnd&pg=PA120&dq=unlearn&ots=M7s2bDdrRy&sig=SqdarJ3S7rk-tJT750SFJ_qZQCU"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-10-18)]</a></li></ul>",,2024-10-28
Cold and hot tumors: from molecular mechanisms to targeted therapy,"Bo Wu, Bo Zhang, Meixi Jiang","<ul><li><span style=""color: #FF5733;"">Signal Transduction and Targeted Therapy</span></li></ul>",2024-10-18,"<ul><li><a href=""https://www.nature.com/articles/s41392-024-01979-x"" target=""_blank"" style=""color: #FF5733;"">[Nature (2024-10-18)]</a></li></ul>",,2024-10-18
Meta-Unlearning on Diffusion Models: Preventing Relearning Unlearned Concepts,"Hongcheng Gao, Tianyu Pang, Chao Du, Taihang Hu, Zhijie Deng, Min Lin","<ul><li><span style=""color: #FF5733;"">arXiv</span></li><li><span style=""color: #3357FF;"">arXiv …, 2024</span></li></ul>",2024-10-17,"<ul><li><a href=""http://arxiv.org/abs/2410.12777v1"" target=""_blank"" style=""color: #FF5733;"">[arXiv (2024-10-16)]</a></li><li><a href=""https://arxiv.org/abs/2410.12777"" target=""_blank"" style=""color: #3357FF;"">[GoogleScholar (2024-10-17)]</a></li></ul>","<ul><li><a href=""https://github.com/sail-sg/Meta-Unlearning"" target=""_blank"" style=""color: #FF5733;"">[arXiv - sail-sg]</a></li></ul>",2024-11-03
Countering Relearning with Perception Revising Unlearning,"C Zhang, W Chen, WE Zhang, M Xu","<ul><li><span style=""color: #FF5733;"">The 16th Asian Conference …, 2024</span></li></ul>",2024-10-17,"<ul><li><a href=""https://openreview.net/forum?id=xUHpRIq8fZ"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-10-17)]</a></li></ul>",,2024-10-28
Negative Preference Reduction in Large Language Model Unlearning: An Experimental Approach,,"<ul><li><span style=""color: #FF5733;"">GoogleScholar</span></li></ul>",2024-10-17,"<ul><li><a href=""https://www.authorea.com/doi/full/10.22541/au.172910500.09952481"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-10-17)]</a></li></ul>",,2024-10-28
Researching Crises in Urban Environments: Feminist Insights from Violent Spaces,N Paganini,"<ul><li><span style=""color: #FF5733;"">Studies in Social Justice, 2024</span></li></ul>",2024-10-17,"<ul><li><a href=""https://journals.library.brocku.ca/index.php/SSJ/article/view/4701"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-10-17)]</a></li></ul>",,2024-10-28
SAFREE: Training-Free and Adaptive Guard for Safe Text-to-Image And Video Generation,"J Yoon, S Yu, V Patil, H Yao, M Bansal","<ul><li><span style=""color: #FF5733;"">GoogleScholar</span></li><li><span style=""color: #3357FF;"">arXiv:2410.12761, 2024</span></li></ul>",2024-10-17,"<ul><li><a href=""https://openreview.net/forum?id=hgTFotBRKl"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-10-04)]</a></li><li><a href=""https://arxiv.org/abs/2410.12761"" target=""_blank"" style=""color: #3357FF;"">[GoogleScholar (2024-10-17)]</a></li></ul>",,2024-10-28
Unlearning the Uninteresting: A Review of Why Boredom Matters by Kevin Hood Gary,RV Arcilla,"<ul><li><span style=""color: #FF5733;"">2024</span></li></ul>",2024-10-17,"<ul><li><a href=""https://link.springer.com/article/10.1007/s11217-024-09967-y"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-10-17)]</a></li></ul>",,2024-10-28
Mechanistic Unlearning: Robust Knowledge Unlearning and Editing via Mechanistic Localization,"Phillip Guo, Aaquib Syed, Abhay Sheshadri, Aidan Ewart, Gintare Karolina Dziugaite","<ul><li><span style=""color: #FF5733;"">arXiv</span></li></ul>",2024-10-16,"<ul><li><a href=""http://arxiv.org/abs/2410.12949v1"" target=""_blank"" style=""color: #FF5733;"">[arXiv (2024-10-16)]</a></li></ul>",,2024-11-03
A few-shot Label Unlearning in Vertical Federated Learning,"Hanlin Gu, Hong Xi Tae, Chee Seng Chan, Lixin Fan","<ul><li><span style=""color: #FF5733;"">arXiv</span></li></ul>",2024-10-14,"<ul><li><a href=""http://arxiv.org/abs/2410.10922v1"" target=""_blank"" style=""color: #FF5733;"">[arXiv (2024-10-14)]</a></li></ul>",,2024-11-03
"Edge Unlearning is Not ""on Edge""! An Adaptive Exact Unlearning System on Resource-Constrained Devices","Xiaoyu Xia, Ziqi Wang, Ruoxi Sun, Bowen Liu, Ibrahim Khalil, Minhui Xue","<ul><li><span style=""color: #FF5733;"">arXiv</span></li></ul>",2024-10-14,"<ul><li><a href=""http://arxiv.org/abs/2410.10128v2"" target=""_blank"" style=""color: #FF5733;"">[arXiv (2024-10-14)]</a></li></ul>",,2024-11-03
Evaluating of Machine Unlearning: Robustness Verification Without Prior Modifications,"Heng Xu, Tianqing Zhu, Wanlei Zhou","<ul><li><span style=""color: #FF5733;"">arXiv</span></li></ul>",2024-10-14,"<ul><li><a href=""http://arxiv.org/abs/2410.10120v1"" target=""_blank"" style=""color: #FF5733;"">[arXiv (2024-10-14)]</a></li></ul>",,2024-11-03
LLM Unlearning via Loss Adjustment with Only Forget Data,"Yaxuan Wang, Jiaheng Wei, Chris Yuhao Liu, Jinlong Pang, Quan Liu, Ankit Parag Shah, Yujia Bao, Yang Liu, Wei Wei","<ul><li><span style=""color: #FF5733;"">arXiv</span></li></ul>",2024-10-14,"<ul><li><a href=""http://arxiv.org/abs/2410.11143v1"" target=""_blank"" style=""color: #FF5733;"">[arXiv (2024-10-14)]</a></li></ul>",,2024-11-03
7 WHEN THE SPIRITUAL IS POLITICAL: Self-Realization and the Quest for Social Justice,G Watts,"<ul><li><span style=""color: #FF5733;"">The Shape of Spirituality: The Public Significance of a …, 2024</span></li></ul>",2024-10-14,"<ul><li><a href=""https://www.degruyter.com/document/doi/10.7312/hout21684-009/html"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-10-14)]</a></li></ul>",,2024-10-28
Efficient Federated Unlearning under Plausible Deniability,"Ayush K. Varshney, Vicenç Torra","<ul><li><span style=""color: #FF5733;"">arXiv</span></li><li><span style=""color: #3357FF;"">arXiv:2410.09947, 2024</span></li></ul>",2024-10-13,"<ul><li><a href=""http://arxiv.org/abs/2410.09947v1"" target=""_blank"" style=""color: #FF5733;"">[arXiv (2024-10-13)]</a></li><li><a href=""https://arxiv.org/abs/2410.09947"" target=""_blank"" style=""color: #3357FF;"">[GoogleScholar (2024-10-13)]</a></li></ul>","<ul><li><a href=""https://github.com/Ayush-Umu/Federated-Unlearning-under-Plausible-Deniability"" target=""_blank"" style=""color: #FF5733;"">[arXiv - Ayush-Umu]</a></li></ul>",2024-11-03
How to unlearn a learned Machine Learning model ?,Seifeddine Achour,"<ul><li><span style=""color: #FF5733;"">arXiv</span></li><li><span style=""color: #3357FF;"">GoogleScholar</span></li></ul>",2024-10-13,"<ul><li><a href=""http://arxiv.org/abs/2410.09935v1"" target=""_blank"" style=""color: #FF5733;"">[arXiv (2024-10-13)]</a></li><li><a href=""https://www.researchgate.net/profile/Seifeddine-Achour/publication/375992873_How_to_unlearn_a_learned_Machine_Learning_model/links/65665cd7b86a1d521b1743ff/How-to-unlearn-a-learned-Machine-Learning-model.pdf"" target=""_blank"" style=""color: #3357FF;"">[GoogleScholar (2023-11-30)]</a></li></ul>",,2024-11-03
UnSeg: One Universal Unlearnable Example Generator is Enough against All Image Segmentation,"Ye Sun, Hao Zhang, Tiehua Zhang, Xingjun Ma, Yu-Gang Jiang","<ul><li><span style=""color: #FF5733;"">arXiv</span></li></ul>",2024-10-13,"<ul><li><a href=""http://arxiv.org/abs/2410.09909v1"" target=""_blank"" style=""color: #FF5733;"">[arXiv (2024-10-13)]</a></li></ul>",,2024-11-03
Choose Your Anchor Wisely: Effective Unlearning Diffusion Models via Concept Reconditioning,"J Zhu, R Zhang, L Lin, S Mei","<ul><li><span style=""color: #FF5733;"">Neurips Safe Generative AI Workshop 2024</span></li></ul>",2024-10-13,"<ul><li><a href=""https://openreview.net/forum?id=8naq3XyGQe"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-10-13)]</a></li></ul>",,2024-10-28
LoReUn: Data Itself Implicitly Provides Cues to Improve Machine Unlearning,"X Li, Q Shen, H Wang, K Kawaguchi","<ul><li><span style=""color: #FF5733;"">Neurips Safe Generative AI …</span></li></ul>",2024-10-13,"<ul><li><a href=""https://openreview.net/forum?id=1R9V2oWSjh"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-10-13)]</a></li></ul>",,2024-10-28
Model Manipulation Attacks Enable More Rigorous Evaluations of LLM Unlearning,"Z Che, S Casper, A Satheesh, R Gandikota…","<ul><li><span style=""color: #FF5733;"">Neurips Safe Generative …</span></li></ul>",2024-10-13,"<ul><li><a href=""https://openreview.net/forum?id=XmvgWEjkhG"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-10-13)]</a></li></ul>",,2024-10-28
Targeted Unlearning with Single Layer Unlearning Gradient,"Z Cai, Y Tan, MS Asif","<ul><li><span style=""color: #FF5733;"">Neurips Safe Generative AI Workshop 2024</span></li></ul>",2024-10-13,"<ul><li><a href=""https://openreview.net/forum?id=ePKuQQwCGm"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-10-13)]</a></li></ul>",,2024-10-28
"Teaching pride forward: Building LGBTQ+ allyship in English language teaching: edited by Ethan Trinh, Kate Mastruserio Reynolds, and James Coda, Virginia …",VN Tarrayo,"<ul><li><span style=""color: #FF5733;"">2024</span></li></ul>",2024-10-13,"<ul><li><a href=""https://www.tandfonline.com/doi/full/10.1080/17501229.2024.2415341"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-10-13)]</a></li></ul>",,2024-10-28
Unlearning in-vs. out-of-distribution data in LLMs under gradient-based methods,"T Baluta, GK Dziugaite, P Lamblin, F Pedregosa…","<ul><li><span style=""color: #FF5733;"">Neurips Safe Generative …</span></li></ul>",2024-10-13,"<ul><li><a href=""https://openreview.net/forum?id=3SK2Nn3SNv"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-10-13)]</a></li></ul>",,2024-10-28
Unlearning via Simulated Oracle Matching,,"<ul><li><span style=""color: #FF5733;"">GoogleScholar</span></li></ul>",2024-10-13,"<ul><li><a href=""https://sethneel.com/wp-content/uploads/2024/10/unlearning_through_data_attribution-3.pdf"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-10-13)]</a></li></ul>",,2024-10-28
Jogging the Memory of Unlearned LLMs Through Targeted Relearning Attacks,"Shengyuan Hu, Yiwei Fu, Zhiwei Steven Wu, Virginia Smith","<ul><li><span style=""color: #FF5733;"">arXiv</span></li><li><span style=""color: #3357FF;"">Neurips Safe Generative AI Workshop 2024</span></li></ul>",2024-10-12,"<ul><li><a href=""http://arxiv.org/abs/2406.13356v3"" target=""_blank"" style=""color: #FF5733;"">[arXiv (2024-06-19)]</a></li><li><a href=""https://openreview.net/forum?id=YulEbrG99x"" target=""_blank"" style=""color: #3357FF;"">[GoogleScholar (2024-10-12)]</a></li></ul>",,2024-11-03
Unlearn and Burn: Adversarial Machine Unlearning Requests Destroy Model Accuracy,"Yangsibo Huang, Daogao Liu, Lynn Chua, Badih Ghazi, Pritish Kamath, Ravi Kumar, Pasin Manurangsi, Milad Nasr, Amer Sinha, Chiyuan Zhang","<ul><li><span style=""color: #FF5733;"">arXiv</span></li><li><span style=""color: #3357FF;"">arXiv …, 2024</span></li></ul>",2024-10-12,"<ul><li><a href=""http://arxiv.org/abs/2410.09591v1"" target=""_blank"" style=""color: #FF5733;"">[arXiv (2024-10-12)]</a></li><li><a href=""https://arxiv.org/abs/2410.09591"" target=""_blank"" style=""color: #3357FF;"">[GoogleScholar (2024-10-12)]</a></li></ul>",,2024-11-03
Auto-Enhance: Towards a Meta-Benchmark to Evaluate AI Agents' Ability to Improve Other Agents,"SF Brown, B Labib, C Lugoj","<ul><li><span style=""color: #FF5733;"">Neurips Safe Generative AI Workshop …</span></li></ul>",2024-10-12,"<ul><li><a href=""https://openreview.net/forum?id=YAhyaNEoy9"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-10-12)]</a></li></ul>",,2024-10-28
Concept Unlearning for Large Language Models,"T Yamashita, T Miura, Y Yamanaka…","<ul><li><span style=""color: #FF5733;"">Neurips Safe Generative …</span></li></ul>",2024-10-12,"<ul><li><a href=""https://openreview.net/forum?id=nU7Se8oIPJ"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-10-12)]</a></li></ul>",,2024-10-28
"Examination of Tanzania Secondary School Mathematics Teacher Education Program Alignment with Knowledge, Skills","M Ndunda, H Lyeme, FK Kasing'a","<ul><li><span style=""color: #FF5733;"">… in Africa: Trends at Primary and …</span></li></ul>",2024-10-12,"<ul><li><a href=""https://books.google.com/books?hl=en&lr=&id=qo8oEQAAQBAJ&oi=fnd&pg=PA149&dq=unlearn&ots=3db0vs3K4H&sig=72mTcgC0U37Nqr4JOQLsVLTKzqo"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-10-12)]</a></li></ul>",,2024-10-28
Extracting Unlearned Information from LLMs with Activation Steering,"A Seyitoğlu, A Kuvshinov, L Schwinn…","<ul><li><span style=""color: #FF5733;"">Neurips Safe Generative …</span></li></ul>",2024-10-12,"<ul><li><a href=""https://openreview.net/forum?id=RuufZiUWUq"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-10-12)]</a></li></ul>",,2024-10-28
Variational Diffusion Unlearning: a variational inference framework for unlearning in diffusion models,"S Panda, MS Varun, S Jain, SK Maharana…","<ul><li><span style=""color: #FF5733;"">Neurips Safe Generative …</span></li></ul>",2024-10-12,"<ul><li><a href=""https://openreview.net/forum?id=B2wDjiED9V"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-10-12)]</a></li></ul>",,2024-10-28
