title,author,venue_name,publish_date,url,code,created_date
Vi-Fi: Associating Moving Subjects across Vision and Wireless Sensors,,IPSN,2022,"<a href=""https://ieeexplore.ieee.org/document/9826015"" target=""_blank"">9826015</a>","<a href=""https://github.com/vifi2021/Vi-Fi"" target=""_blank"">vifi2021</a>",2025-05-30
Robust Contrastive Learning against Noisy Views,,arXiv,2022,"<a href=""https://arxiv.org/abs/2201.04309"" target=""_blank"">2201.04309</a>",,2025-05-30
Cooperative Learning for Multi-view Analysis,,arXiv,2022,"<a href=""https://arxiv.org/abs/2112.12337"" target=""_blank"">2112.12337</a>",,2025-05-30
TAG: Boosting Text-VQA via Text-aware Visual Question-answer Generation,,arXiv,2022,"<a href=""https://arxiv.org/abs/2208.01813"" target=""_blank"">2208.01813</a>","<a href=""https://github.com/HenryJunW/TAG"" target=""_blank"">HenryJunW</a>",2025-05-30
Balanced Multimodal Learning via On-the-fly Gradient Modulation,,CVPR,2022,"<a href=""https://arxiv.org/abs/2203.15332"" target=""_blank"">2203.15332</a>",,2025-05-30
Pretrained Transformers As Universal Computation Engines,,AAAI,2022,"<a href=""https://arxiv.org/abs/2103.05247"" target=""_blank"">2103.05247</a>",,2025-05-30
On the Limitations of Multimodal VAEs,,ICLR,2022,"<a href=""https://arxiv.org/abs/2110.04121"" target=""_blank"">2110.04121</a>","<a href=""https://openreview.net/attachment?id=w-CPUXXrAj&name=supplementary_material"" target=""_blank"">mentary_material</a>",2025-05-30
Unpaired Vision-Language Pre-training via Cross-Modal CutMix,,ICML,2022,"<a href=""https://arxiv.org/abs/2206.08919"" target=""_blank"">2206.08919</a>",,2025-05-30
VMLoc: Variational Fusion For Learning-Based Multimodal Camera Localization,,AAAI,2021,"<a href=""https://arxiv.org/abs/2003.07289"" target=""_blank"">2003.07289</a>",,2025-05-30
Core Challenges in Embodied Vision-Language Planning,,arXiv,2021,"<a href=""https://arxiv.org/abs/2106.13948"" target=""_blank"">2106.13948</a>",,2025-05-30
What Makes Multi-modal Learning Better than Single (Provably),,NeurIPS,2021,"<a href=""https://arxiv.org/abs/2106.04538"" target=""_blank"">2106.04538</a>",,2025-05-30
Efficient Multi-Modal Fusion with Diversity Analysis,,ACMMM,2021,"<a href=""https://dl.acm.org/doi/abs/10.1145/3474085.3475188"" target=""_blank"">3474085.3475188</a>",,2025-05-30
Attention Bottlenecks for Multimodal Fusion,,NeurIPS,2021,"<a href=""https://arxiv.org/abs/2107.00135"" target=""_blank"">2107.00135</a>",,2025-05-30
"Decoupling the Role of Data, Attention, and Losses in Multimodal Transformers",,TACL,2021,"<a href=""https://arxiv.org/abs/2102.00529"" target=""_blank"">2102.00529</a>",,2025-05-30
Trusted Multi-View Classification,,ICLR,2021,"<a href=""https://openreview.net/forum?id=OOsR8BzCnl5"" target=""_blank"">forum?id=OOsR8Bz</a>","<a href=""https://github.com/hanmenghan/TMC"" target=""_blank"">hanmenghan</a>",2025-05-30
Multi-Modal Video Reasoning and Analyzing Competition,,ICCV,2021,"<a href=""https://sutdcv.github.io/multi-modal-video-reasoning"" target=""_blank"">multi-modal-vide</a>",,2025-05-30
"PolyViT: Co-training Vision Transformers on Images, Videos and Audio",,arXiv,2021,"<a href=""https://arxiv.org/abs/2111.12993"" target=""_blank"">2111.12993</a>",,2025-05-30
"VATT: Transformers for Multimodal Self-Supervised Learning from Raw Video, Audio and Text",,NeurIPS,2021,"<a href=""https://arxiv.org/abs/2104.11178"" target=""_blank"">2104.11178</a>","<a href=""https://github.com/google-research/google-research/tree/master/vatt"" target=""_blank"">master</a>",2025-05-30
Zero-Shot Text-to-Image Generation,,ICML,2021,"<a href=""https://arxiv.org/abs/2102.12092"" target=""_blank"">2102.12092</a>","<a href=""https://github.com/openai/DALL-E"" target=""_blank"">openai</a>",2025-05-30
Grounding 'Grounding' in NLP,,ACL,2021,"<a href=""https://arxiv.org/abs/2106.02192"" target=""_blank"">2106.02192</a>",,2025-05-30
"MultiModalQA: complex question answering over text, tables and images",,ICLR,2021,"<a href=""https://openreview.net/forum?id=ee6W5UgQLa"" target=""_blank"">forum?id=ee6W5Ug</a>",,2025-05-30
SUTD-TrafficQA: A Question Answering Benchmark and an Efficient Network for Video Reasoning over Traffic Events,,CVPR,2021,"<a href=""https://openaccess.thecvf.com/content/CVPR2021/html/Xu_SUTD-TrafficQA_A_Question_Answering_Benchmark_and_an_Efficient_Network_for_CVPR_2021_paper.html"" target=""_blank"">Xu_SUTD-TrafficQ</a>","<a href=""https://github.com/SUTDCV/SUTD-TrafficQA"" target=""_blank"">SUTDCV</a>",2025-05-30
Multimodal Co-Attention Transformer for Survival Prediction in Gigapixel Whole Slide Images,,"ICCV,",2021,"<a href=""https://openaccess.thecvf.com/content/ICCV2021/html/Chen_Multimodal_Co-Attention_Transformer_for_Survival_Prediction_in_Gigapixel_Whole_Slide_ICCV_2021_paper.html"" target=""_blank"">Chen_Multimodal_</a>",,2025-05-30
History Aware Multimodal Transformer for Vision-and-Language Navigation,,NeurIPS,2021,"<a href=""https://arxiv.org/abs/2110.13309"" target=""_blank"">2110.13309</a>","<a href=""https://cshizhe.github.io/projects/vln_hamt.html"" target=""_blank"">projects</a>",2025-05-30
Reconsidering Representation Alignment for Multi-view Clustering,,CVPR,2021,"<a href=""https://openaccess.thecvf.com/content/CVPR2021/html/Trosten_Reconsidering_Representation_Alignment_for_Multi-View_Clustering_CVPR_2021_paper.html"" target=""_blank"">Trosten_Reconsid</a>","<a href=""https://github.com/DanielTrosten/mvc"" target=""_blank"">DanielTrosten</a>",2025-05-30
MaRVL: Multicultural Reasoning over Vision and Language,,EMNLP,2021,"<a href=""https://arxiv.org/pdf/2109.13238"" target=""_blank"">2109.13238</a>","<a href=""https://marvl-challenge.github.io/"" target=""_blank"">marvl-challenge.github.io</a>",2025-05-30
Multimodal Transformer with Variable-length Memory for Vision-and-Language Navigation,,arXiv,2021,"<a href=""https://arxiv.org/abs/2111.05759"" target=""_blank"">2111.05759</a>",,2025-05-30
Non-Linear Consumption of Videos Using a Sequence of Personalized Multimodal Fragments,,IUI,2021,"<a href=""https://gaurav22verma.github.io/assets/papers/NonLinearConsumption.pdf"" target=""_blank"">NonLinearConsump</a>",,2025-05-30
Worst of Both Worlds: Biases Compound in Pre-trained Vision-and-Language Models,,arXiv,2021,"<a href=""https://arxiv.org/abs/2104.08666"" target=""_blank"">2104.08666</a>",,2025-05-30
"Trends in Integration of Vision and Language Research: A Survey of Tasks, Datasets, and Methods",,JAIR,2021,"<a href=""https://doi.org/10.1613/jair.1.11688"" target=""_blank"">jair.1.11688</a>",,2025-05-30
"Detect, Reject, Correct: Crossmodal Compensation of Corrupted Sensors",,ICRA,2021,"<a href=""https://arxiv.org/abs/2012.00201"" target=""_blank"">2012.00201</a>",,2025-05-30
Generalized Multimodal ELBO,,ICLR,2021,"<a href=""https://openreview.net/forum?id=5Y21V0RDBV"" target=""_blank"">forum?id=5Y21V0R</a>","<a href=""https://github.com/thomassutter/MoPoE"" target=""_blank"">thomassutter</a>",2025-05-30
MiniHack the Planet: A Sandbox for Open-Ended Reinforcement Learning Research,,NeurIPS,2021,"<a href=""https://arxiv.org/abs/2109.13202"" target=""_blank"">2109.13202</a>","<a href=""https://github.com/facebookresearch/minihack"" target=""_blank"">facebookresearch</a>",2025-05-30
SMIL: Multimodal Learning with Severely Missing Modality,,AAAI,2021,"<a href=""https://arxiv.org/abs/2103.05677"" target=""_blank"">2103.05677</a>",,2025-05-30
Grounded Language Learning Fast and Slow,,ICLR,2021,"<a href=""https://arxiv.org/abs/2009.01719"" target=""_blank"">2009.01719</a>",,2025-05-30
Unsupervised Voice-Face Representation Learning by Cross-Modal Prototype Contrast,,IJCAI,2021,"<a href=""https://arxiv.org/abs/2204.14057"" target=""_blank"">2204.14057</a>","<a href=""https://github.com/Cocoxili/CMPC"" target=""_blank"">Cocoxili</a>",2025-05-30
Towards a Unified Foundation Model: Jointly Pre-Training Transformers on Unpaired Images and Text,,arXiv,2021,"<a href=""https://arxiv.org/abs/2112.07074"" target=""_blank"">2112.07074</a>",,2025-05-30
FLAVA: A Foundational Language And Vision Alignment Model,,arXiv,2021,"<a href=""https://arxiv.org/abs/2112.04482"" target=""_blank"">2112.04482</a>",,2025-05-30
Transformer is All You Need: Multimodal Multitask Learning with a Unified Transformer,,arXiv,2021,"<a href=""https://arxiv.org/abs/2102.10772"" target=""_blank"">2102.10772</a>",,2025-05-30
MultiBench: Multiscale Benchmarks for Multimodal Representation Learning,,NeurIPS,2021,"<a href=""https://arxiv.org/abs/2107.07502"" target=""_blank"">2107.07502</a>","<a href=""https://github.com/pliang279/MultiBench"" target=""_blank"">pliang279</a>",2025-05-30
Perceiver: General Perception with Iterative Attention,,ICML,2021,"<a href=""https://arxiv.org/abs/2103.03206"" target=""_blank"">2103.03206</a>","<a href=""https://github.com/deepmind/deepmind-research/tree/master/perceiver"" target=""_blank"">master</a>",2025-05-30
Learning Transferable Visual Models From Natural Language Supervision,,arXiv,2021,"<a href=""https://arxiv.org/abs/2103.00020"" target=""_blank"">2103.00020</a>",,2025-05-30
VinVL: Revisiting Visual Representations in Vision-Language Models,,arXiv,2021,"<a href=""https://arxiv.org/abs/2101.00529"" target=""_blank"">2101.00529</a>",,2025-05-30
A Variational Information Bottleneck Approach to Multi-Omics Data Integration,,AISTATS,2021,"<a href=""https://arxiv.org/abs/2102.03014"" target=""_blank"">2102.03014</a>","<a href=""https://github.com/chl8856/DeepIMV"" target=""_blank"">chl8856</a>",2025-05-30
Less is More: ClipBERT for Video-and-Language Learning via Sparse Sampling,,CVPR,2021,"<a href=""https://arxiv.org/abs/2102.06183"" target=""_blank"">2102.06183</a>","<a href=""https://github.com/jayleicn/ClipBERT"" target=""_blank"">jayleicn</a>",2025-05-30
Align before Fuse: Vision and Language Representation Learning with Momentum Distillation,,NeurIPS,2021,"<a href=""https://arxiv.org/abs/2107.07651"" target=""_blank"">2107.07651</a>",,2025-05-30
"Multimodal Co-learning: Challenges, Applications with Datasets, Recent Advances and Future Directions",,arXiv,2021,"<a href=""https://arxiv.org/abs/2107.13782"" target=""_blank"">2107.13782</a>",,2025-05-30
Scaling Up Visual and Vision-Language Representation Learning With Noisy Text Supervision,,ICML,2021,"<a href=""https://arxiv.org/abs/2102.05918"" target=""_blank"">2102.05918</a>",,2025-05-30
DABS: A Domain-Agnostic Benchmark for Self-Supervised Learning,,NeurIPS,2021,"<a href=""https://arxiv.org/abs/2111.12062"" target=""_blank"">2111.12062</a>",,2025-05-30
Hierarchical Cross-Modal Agent for Robotics Vision-and-Language Navigation,,ICRA,2021,"<a href=""https://arxiv.org/abs/2104.10674"" target=""_blank"">2104.10674</a>",,2025-05-30
ALFWorld: Aligning Text and Embodied Environments for Interactive Learning,,ICLR,2021,"<a href=""https://arxiv.org/abs/2010.03768"" target=""_blank"">2010.03768</a>","<a href=""http://alfworld.github.io/"" target=""_blank"">alfworld.github.io</a>",2025-05-30
Parameter Efficient Multimodal Transformers for Video Representation Learning,,ICLR,2021,"<a href=""https://arxiv.org/abs/2012.04124"" target=""_blank"">2012.04124</a>","<a href=""https://github.com/sangho-vision/avbert"" target=""_blank"">sangho-vision</a>",2025-05-30
"MURAL: Multimodal, Multitask Retrieval Across Languages",,arXiv,2021,"<a href=""https://arxiv.org/abs/2109.05125"" target=""_blank"">2109.05125</a>",,2025-05-30
Learning with Noisy Correspondence for Cross-modal Matching,,NeurIPS,2021,"<a href=""https://proceedings.neurips.cc/paper/2021/file/f5e62af885293cf4d511ceef31e61c80-Paper.pdf"" target=""_blank"">f5e62af885293cf4</a>","<a href=""https://github.com/XLearning-SCU/2021-NeurIPS-NCR"" target=""_blank"">XLearning-SCU</a>",2025-05-30
Towards Debiasing Sentence Representations,,ACL,2020,"<a href=""https://arxiv.org/abs/2007.08100"" target=""_blank"">2007.08100</a>","<a href=""https://github.com/pliang279/sent_debias"" target=""_blank"">pliang279</a>",2025-05-30
Advances in Language and Vision Research,,ACL,2020,"<a href=""https://alvr-workshop.github.io/"" target=""_blank""></a>",,2025-05-30
Shaping Visual Representations with Language for Few-shot Classification,,ACL,2020,"<a href=""https://arxiv.org/abs/1911.02683"" target=""_blank"">1911.02683</a>",,2025-05-30
Language to Network: Conditional Parameter Adaptation with Natural Language Descriptions,,ACL,2020,"<a href=""https://www.aclweb.org/anthology/2020.acl-main.625/"" target=""_blank""></a>",,2025-05-30
Grand Challenge and Workshop on Human Multimodal Language,,ACL,2020,"<a href=""http://multicomp.cs.cmu.edu/acl2020multimodalworkshop/"" target=""_blank""></a>",,2025-05-30
Music Gesture for Visual Sound Separation,,CVPR,2020,"<a href=""https://arxiv.org/abs/2004.09476"" target=""_blank"">2004.09476</a>",,2025-05-30
Labelling Unlabelled Videos from Scratch with Multi-modal Self-supervision,,NeurIPS,2020,"<a href=""https://arxiv.org/abs/2006.13662"" target=""_blank"">2006.13662</a>","<a href=""https://www.robots.ox.ac.uk/~vgg/research/selavi/"" target=""_blank"">research/selavi/</a>",2025-05-30
Self-Supervised Learning by Cross-Modal Audio-Video Clustering,,NeurIPS,2020,"<a href=""https://arxiv.org/abs/1911.12667"" target=""_blank"">1911.12667</a>","<a href=""https://github.com/HumamAlwassel/XDC"" target=""_blank"">HumamAlwassel</a>",2025-05-30
Self-supervised Disentanglement of Modality-specific and Shared Factors Improves Multimodal Generative Models,,GCPR,2020,"<a href=""https://rdcu.be/c8WUU"" target=""_blank"">c8WUU</a>","<a href=""https://github.com/imantdaunhawer/DMVAE"" target=""_blank"">imantdaunhawer</a>",2025-05-30
Multimodal Generative Learning Utilizing Jensen-Shannon-Divergence,,NeurIPS,2020,"<a href=""https://arxiv.org/abs/2006.08242"" target=""_blank"">2006.08242</a>","<a href=""https://github.com/thomassutter/mmjsd"" target=""_blank"">thomassutter</a>",2025-05-30
FairCVtest Demo: Understanding Bias in Multimodal Learning with a Testbed in Fair Automatic Recruitment,,ICMI,2020,"<a href=""https://arxiv.org/abs/2009.07025"" target=""_blank"">2009.07025</a>","<a href=""https://github.com/BiDAlab/FairCVtest"" target=""_blank"">BiDAlab</a>",2025-05-30
11-777 Multimodal Machine Learning,,Fall,2020,"<a href=""https://cmu-multicomp-lab.github.io/mmml-course/fall2020/"" target=""_blank""></a>",,2025-05-30
Generating Need-Adapted Multimodal Fragments,,IUI,2020,"<a href=""https://gaurav22verma.github.io/assets/MultimodalFragments.pdf"" target=""_blank"">MultimodalFragme</a>",,2025-05-30
Two Causal Principles for Improving Visual Dialog,,CVPR,2020,"<a href=""https://arxiv.org/abs/1911.10496"" target=""_blank"">1911.10496</a>",,2025-05-30
Adventures in Flatland: Perceiving Social Interactions Under Physical Dynamics,,CogSci,2020,"<a href=""https://www.tshu.io/HeiderSimmel/CogSci20/Flatland_CogSci20.pdf"" target=""_blank"">Flatland_CogSci2</a>",,2025-05-30
Multi-agent Communication meets Natural Language: Synergies between Functional and Structural Language Learning,,ACL,2020,"<a href=""https://arxiv.org/abs/2005.07064"" target=""_blank"">2005.07064</a>",,2025-05-30
Multimodal sensor fusion with differentiable filters,,IROS,2020,"<a href=""https://arxiv.org/abs/2010.13021"" target=""_blank"">2010.13021</a>",,2025-05-30
Concept2Robot: Learning Manipulation Concepts from Instructions and Human Demonstrations,,RSS,2020,"<a href=""http://www.roboticsproceedings.org/rss16/p082.pdf"" target=""_blank"">p082.pdf</a>",,2025-05-30
Imitating Interactive Intelligence,,arXiv,2020,"<a href=""https://arxiv.org/abs/2012.05672"" target=""_blank"">2012.05672</a>",,2025-05-30
Visual Agreement Regularized Training for Multi-Modal Machine Translation,,AAAI,2020,"<a href=""https://arxiv.org/abs/1912.12014"" target=""_blank"">1912.12014</a>",,2025-05-30
Neural Machine Translation with Universal Visual Representation,,ICLR,2020,"<a href=""https://openreview.net/forum?id=Byl8hhNYPS"" target=""_blank"">forum?id=Byl8hhN</a>","<a href=""https://github.com/cooelf/UVR-NMT"" target=""_blank"">cooelf</a>",2025-05-30
Multimodal Transformer for Multimodal Machine Translation,,ACL,2020,"<a href=""https://www.aclweb.org/anthology/2020.acl-main.400/"" target=""_blank""></a>",,2025-05-30
Unsupervised Multimodal Neural Machine Translation with Pseudo Visual Pivoting,,ACL,2020,"<a href=""https://arxiv.org/abs/2005.03119"" target=""_blank"">2005.03119</a>",,2025-05-30
RTFM: Generalising to Novel Environment Dynamics via Reading,,ICLR,2020,"<a href=""https://arxiv.org/abs/1910.08210"" target=""_blank"">1910.08210</a>","<a href=""https://github.com/facebookresearch/RTFM"" target=""_blank"">facebookresearch</a>",2025-05-30
Embodied Multimodal Multitask Learning,,IJCAI,2020,"<a href=""https://arxiv.org/abs/1902.01385"" target=""_blank"">1902.01385</a>",,2025-05-30
Towards Learning a Generic Agent for Vision-and-Language Navigation via Pre-training,,CVPR,2020,"<a href=""https://arxiv.org/abs/2002.10638"" target=""_blank"">2002.10638</a>","<a href=""https://github.com/weituo12321/PREVALENT"" target=""_blank"">weituo12321</a>",2025-05-30
Improving Vision-and-Language Navigation with Image-Text Pairs from the Web,,ECCV,2020,"<a href=""https://arxiv.org/abs/2004.14973"" target=""_blank"">2004.14973</a>",,2025-05-30
VIOLIN: A Large-Scale Dataset for Video-and-Language Inference,,CVPR,2020,"<a href=""https://arxiv.org/abs/2003.11618"" target=""_blank"">2003.11618</a>","<a href=""https://github.com/jimmy646/violin"" target=""_blank"">jimmy646</a>",2025-05-30
Human in the Loop Dialogue Systems,,NeurIPS,2020,"<a href=""https://sites.google.com/view/hlds-2020/home"" target=""_blank"">home</a>",,2025-05-30
Visual Grounding in Video for Unsupervised Word Translation,,CVPR,2020,"<a href=""https://arxiv.org/abs/2003.05078"" target=""_blank"">2003.05078</a>","<a href=""https://github.com/gsig/visual-grounding"" target=""_blank"">gsig</a>",2025-05-30
What Does BERT with Vision Look At?,,ACL,2020,"<a href=""https://www.aclweb.org/anthology/2020.acl-main.469/"" target=""_blank""></a>",,2025-05-30
The Hateful Memes Challenge: Detecting Hate Speech in Multimodal Memes,,NeurIPS,2020,"<a href=""https://arxiv.org/abs/2005.04790"" target=""_blank"">2005.04790</a>","<a href=""https://ai.facebook.com/blog/hateful-memes-challenge-and-data-set/"" target=""_blank"">ge-and-data-set/</a>",2025-05-30
"Deep Multi-modal Object Detection and Semantic Segmentation for Autonomous Driving: Datasets, Methods, and Challenges",,IEEE TITS,2020,"<a href=""https://arxiv.org/pdf/1902.07830.pdf"" target=""_blank"">1902.07830.pdf</a>",,2025-05-30
nuScenes: A multimodal dataset for autonomous driving,,CVPR,2020,"<a href=""https://openaccess.thecvf.com/content_CVPR_2020/papers/Caesar_nuScenes_A_Multimodal_Dataset_for_Autonomous_Driving_CVPR_2020_paper.pdf"" target=""_blank"">Caesar_nuScenes_</a>",,2025-05-30
Multimodal End-to-End Autonomous Driving,,arXiv,2020,"<a href=""https://arxiv.org/abs/1906.03199"" target=""_blank"">1906.03199</a>",,2025-05-30
A Multimodal Event-driven LSTM Model for Stock Prediction Using Online News,,TKDE,2020,"<a href=""https://ailab-ua.github.io/courses/resources/Qing_TKDE_2020.pdf"" target=""_blank"">Qing_TKDE_2020.p</a>",,2025-05-30
Pathomic Fusion: An Integrated Framework for Fusing Histopathology and Genomic Features for Cancer Diagnosis and Prognosis,,"IEEE TMI,",2020,"<a href=""https://arxiv.org/abs/1912.08937"" target=""_blank"">1912.08937</a>",,2025-05-30
Does my multimodal model learn cross-modal interactions? It’s harder to tell than you might think!,,EMNLP,2020,"<a href=""https://www.aclweb.org/anthology/2020.emnlp-main.62.pdf"" target=""_blank"">2020.emnlp-main.</a>",,2025-05-30
Iterative Answer Prediction with Pointer-Augmented Multimodal Transformers for TextVQA,,CVPR,2020,"<a href=""https://arxiv.org/abs/1911.06258"" target=""_blank"">1911.06258</a>",,2025-05-30
ManyModalQA: Modality Disambiguation and QA over Diverse Inputs,,AAAI,2020,"<a href=""https://arxiv.org/abs/2001.08034"" target=""_blank"">2001.08034</a>","<a href=""https://github.com/hannandarryl/ManyModalQA"" target=""_blank"">hannandarryl</a>",2025-05-30
Human-centric dialog training via offline reinforcement learning,,EMNLP,2020,"<a href=""https://arxiv.org/abs/2010.05848"" target=""_blank"">2010.05848</a>","<a href=""https://github.com/natashamjaques/neural_chat/tree/master/BatchRL"" target=""_blank"">master</a>",2025-05-30
Human And Machine in-the-Loop Evaluation and Learning Strategies,,NeurIPS,2020,"<a href=""https://hamlets-workshop.github.io/"" target=""_blank""></a>",,2025-05-30
PET-Guided Attention Network for Segmentation of Lung Tumors from PET/CT Images,,GCPR,2020,"<a href=""https://rdcu.be/c8WWl"" target=""_blank"">c8WWl</a>","<a href=""https://github.com/pvk95/PAG"" target=""_blank"">pvk95</a>",2025-05-30
Self-Supervised MultiModal Versatile Networks,,NeurIPS,2020,"<a href=""https://arxiv.org/abs/2006.16228"" target=""_blank"">2006.16228</a>","<a href=""https://tfhub.dev/deepmind/mmv/s3d/1"" target=""_blank"">epmind/mmv/s3d/1</a>",2025-05-30
What Makes Training Multi-Modal Classification Networks Hard?,,CVPR,2020,"<a href=""https://arxiv.org/abs/1905.12681"" target=""_blank"">1905.12681</a>",,2025-05-30
"Vokenization: Improving Language Understanding via Contextualized, Visually-Grounded Supervision",,EMNLP,2020,"<a href=""https://arxiv.org/abs/2010.06775"" target=""_blank"">2010.06775</a>",,2025-05-30
12-in-1: Multi-Task Vision and Language Representation Learning,,CVPR,2020,"<a href=""https://arxiv.org/abs/1912.02315"" target=""_blank"">1912.02315</a>","<a href=""https://github.com/facebookresearch/vilbert-multi-task"" target=""_blank"">facebookresearch</a>",2025-05-30
Watching the World Go By: Representation Learning from Unlabeled Videos,,arXiv,2020,"<a href=""https://arxiv.org/abs/2003.07990"" target=""_blank"">2003.07990</a>",,2025-05-30
CoMIR: Contrastive Multimodal Image Representation for Registration,,NeurIPS,2020,"<a href=""https://arxiv.org/pdf/2006.06325.pdf"" target=""_blank"">2006.06325.pdf</a>","<a href=""https://github.com/MIDA-group/CoMIR"" target=""_blank"">MIDA-group</a>",2025-05-30
Large-Scale Adversarial Training for Vision-and-Language Representation Learning,,NeurIPS,2020,"<a href=""https://arxiv.org/abs/2006.06195"" target=""_blank"">2006.06195</a>","<a href=""https://github.com/zhegan27/VILLA"" target=""_blank"">zhegan27</a>",2025-05-30
Deep-HOSeq: Deep Higher-Order Sequence Fusion for Multimodal Sentiment Analysis,,ICDM,2020,"<a href=""https://arxiv.org/pdf/2010.08218.pdf"" target=""_blank"">2010.08218.pdf</a>",,2025-05-30
Experience Grounds Language,,EMNLP,2020,"<a href=""https://arxiv.org/abs/2004.10151"" target=""_blank"">2004.10151</a>",,2025-05-30
Removing Bias in Multi-modal Classifiers: Regularization by Maximizing Functional Entropies,,NeurIPS,2020,"<a href=""https://arxiv.org/abs/2010.10802"" target=""_blank"">2010.10802</a>","<a href=""https://github.com/itaigat/removing-bias-in-multi-modal-classifiers"" target=""_blank"">itaigat</a>",2025-05-30
Recent Advances in Vision-and-Language Research,,CVPR,2020,"<a href=""https://rohit497.github.io/Recent-Advances-in-Vision-and-Language-Research/"" target=""_blank""></a>",,2025-05-30
Deep Multimodal Fusion by Channel Exchanging,,NeurIPS,2020,"<a href=""https://arxiv.org/abs/2011.05005?context=cs.LG"" target=""_blank"">2011.05005?conte</a>","<a href=""https://github.com/yikaiw/CEN"" target=""_blank"">yikaiw</a>",2025-05-30
Integrating Multimodal Information in Large Pretrained Transformers,,ACL,2020,"<a href=""https://arxiv.org/abs/1908.05787"" target=""_blank"">1908.05787</a>",,2025-05-30
"Vokenization: Improving Language Understanding with Contextualized, Visual-Grounded Supervision",,EMNLP,2020,"<a href=""https://arxiv.org/abs/2010.06775"" target=""_blank"">2010.06775</a>","<a href=""https://github.com/airsplay/vokenization"" target=""_blank"">airsplay</a>",2025-05-30
Foundations of Multimodal Co-learning,,Information Fusion,2020,"<a href=""https://www.sciencedirect.com/science/article/pii/S1566253520303006"" target=""_blank"">S156625352030300</a>",,2025-05-30
From Recognition to Cognition: Visual Commonsense Reasoning,,CVPR,2019,"<a href=""https://arxiv.org/abs/1811.10830"" target=""_blank"">1811.10830</a>","<a href=""https://visualcommonsense.com/"" target=""_blank"">commonsense.com/</a>",2025-05-30
CommonsenseQA: A Question Answering Challenge Targeting Commonsense Knowledge,,NAACL,2019,"<a href=""https://arxiv.org/abs/1811.00937"" target=""_blank"">1811.00937</a>",,2025-05-30
Lattice Transformer for Speech Translation,,ACL,2019,"<a href=""https://arxiv.org/abs/1906.05551"" target=""_blank"">1906.05551</a>",,2025-05-30
"See, Feel, Act: Hierarchical Learning for Complex Manipulation Skills with Multi-sensory Fusion",,Science Robotics,2019,"<a href=""https://robotics.sciencemag.org/content/4/26/eaav3123"" target=""_blank"">eaav3123</a>",,2025-05-30
